iter	Passed	Remaining
0	11	14984
1	24	16666
2	36	16178
3	48	16150
4	66	17678
5	79	17812
6	92	17734
7	111	18586
8	129	19218
9	143	19157
10	157	19035
11	172	19157
12	188	19292
13	203	19343
14	218	19327
15	232	19284
16	247	19297
17	274	20186
18	292	20403
19	308	20443
20	324	20447
21	340	20443
22	352	20253
23	362	19937
24	377	19917
25	394	20006
26	409	19966
27	424	19960
28	438	19863
29	452	19824
30	466	19771
31	480	19703
32	493	19612
33	508	19608
34	525	19646
35	537	19512
36	548	19393
37	561	19293
38	574	19239
39	590	19254
40	603	19170
41	615	19089
42	628	19014
43	641	18942
44	653	18862
45	674	19039
46	687	18969
47	700	18903
48	713	18857
49	728	18859
50	747	18950
51	761	18923
52	777	18934
53	788	18831
54	803	18840
55	816	18776
56	832	18793
57	847	18785
58	863	18808
59	882	18879
60	905	19050
61	935	19340
62	971	19746
63	984	19699
64	1014	19959
65	1035	20050
66	1051	20049
67	1070	20095
68	1079	19943
69	1097	19983
70	1114	19978
71	1129	19950
72	1147	19982
73	1166	20013
74	1183	20024
75	1198	19989
76	1216	20021
77	1234	20032
78	1254	20088
79	1274	20130
80	1300	20278
81	1337	20582
82	1364	20737
83	1387	20817
84	1405	20816
85	1427	20879
86	1450	20954
87	1468	20964
88	1484	20937
89	1503	20955
90	1518	20913
91	1531	20847
92	1544	20779
93	1557	20705
94	1571	20656
